code,country,gdp_per_capita,median_age,life_expectancy,hospital_beds_per_thousand,diabetes_prevalence,population_density,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,excess_mortality_cumulative_per_million
EST,Estonia,41189.66796875,41.625,78.16739654541016,4.130000114440918,6.900000095367432,31.58112335205078,64.45496,63.90219,3479.0032
ETH,Ethiopia,2892.22216796875,18.527999877929688,66.89710235595703,0.3300000131130218,4.400000095367432,111.10001373291016,41.86291,34.815372,
FIN,Finland,56123.1484375,42.5260009765625,81.24349975585938,2.609999895095825,6.900000095367432,18.323217391967773,81.236206,78.054924,2894.6838
FJI,Fiji,13592.4638671875,27.475000381469727,67.14810180664062,1.8899999856948853,16.600000381469727,50.324466705322266,77.44217,69.73836,2112.3386
FLK,Falkland Islands,,40.935001373291016,79.0447998046875,,,0.28882497549057,74.87909,50.497868,
FRA,France,54799.34765625,41.56700134277344,82.47530364990234,5.650000095367432,6.5,121.04203033447266,82.49821,80.257324,1920.2988
FRO,Faroe Islands,72059.578125,37.53799819946289,79.26370239257812,,5.300000190734863,39.44452667236328,77.19425,75.67683,-1058.2606
FSM,Micronesia (country),3824.15234375,22.607999801635746,66.96060180664062,,19.200000762939453,160.17428588867188,,,
GAB,Gabon,18923.662109375,21.475000381469727,67.71299743652344,1.950000047683716,8.5,9.43357753753662,12.804443,10.592245,
GBR,United Kingdom,52621.1796875,39.50400161743164,81.07440185546875,2.4200000762939453,7.400000095367432,281.814208984375,78.91978,74.43005,3472.9675
GEO,Georgia,24883.908203125,36.63399887084961,74.14089965820312,4.039999961853027,6.699999809265137,54.60903549194336,43.59945,33.62968,7002.3213
GGY,Guernsey,,43.880001068115234,83.10800170898438,,,,85.05569,82.68235,
GHA,Ghana,7055.625,20.73600006103516,65.24600219726562,0.6899999976158142,2.700000047683716,145.68942260742188,41.82365,32.519695,
GIB,Gibraltar,,38.948001861572266,83.5167007446289,,,3763.10009765625,112.07515,110.18841,599.42505
GIN,Guinea,4016.341796875,17.836000442504883,60.43159866333008,0.3000000119209289,4.599999904632568,57.199806213378906,62.010365,41.650185,
GLP,Guadeloupe,,45.86299896240234,80.90540313720703,,,237.47036743164065,,,3786.34
GMB,Gambia,3057.68408203125,17.985000610351562,64.85900115966797,1.1100000143051147,5.5,260.5209350585937,25.576376,20.451042,
GNB,Guinea-Bissau,2744.27978515625,18.732999801635746,63.60449981689453,,4.800000190734863,74.87677764892578,35.480625,26.0094,
GNQ,Equatorial Guinea,15454.4287109375,21.016000747680664,63.35449981689453,,8.199999809265137,64.29764556884766,14.976527,11.867269,
GRC,Greece,37474.28125,45.39099884033203,79.94409942626953,4.269999980926514,8.0,80.77952575683594,76.23573,73.44144,3780.249
GRD,Grenada,17751.509765625,32.88600158691406,75.15080261230469,3.009999990463257,11.300000190734863,343.9058837890625,37.836105,33.38294,
GRL,Greenland,71037.5390625,33.92399978637695,70.0519027709961,,4.300000190734863,0.1364697217941284,73.60124,68.75246,-2770.572
GTM,Guatemala,12640.8876953125,22.24399948120117,71.2063980102539,0.449999988079071,13.199999809265137,166.5535430908203,50.078354,39.953743,3129.683
GUF,French Guiana,,25.23500061035156,76.79419708251953,,,3.60245132446289,,,1014.2202
GUM,Guam,,30.979999542236328,77.10150146484375,,20.299999237060547,305.9129638671875,,,
GUY,Guyana,70516.71875,25.304000854492188,69.88849639892578,3.240000009536743,16.399999618530273,4.173929214477539,60.555866,46.797615,
HKG,Hong Kong,66153.9765625,45.59099960327149,83.48529815673828,,8.199999809265137,7110.3935546875,92.68869,91.124664,2714.7998
HND,Honduras,6585.85546875,23.20599937438965,72.71510314941406,0.5299999713897705,5.0,93.51934814453124,63.037926,55.94186,
HRV,Croatia,42829.19921875,44.61100006103516,78.27790069580078,5.599999904632568,10.5,69.81828308105469,59.457554,57.63479,5874.8223
HTI,Haiti,2809.645263671875,23.25,63.94829940795898,4.900000095367432,8.5,417.4021301269531,4.5324583,3.1845589,
HUN,Hungary,40686.93359375,42.99300003051758,76.21179962158203,6.630000114440918,8.300000190734863,106.1177749633789,66.29646,64.090385,3964.193
IDN,Indonesia,14470.4375,29.56100082397461,70.92459869384766,1.3700000047683716,11.300000190734863,147.33016967773438,73.31313,62.749634,
IMN,Isle of Man,,45.47600173950195,80.95610046386719,,7.5,147.62806701660156,82.66388,79.74759,
IND,India,9818.04296875,27.68400001525879,71.69840240478516,1.590000033378601,10.5,479.425537109375,72.07957,66.78652,
IRL,Ireland,119037.734375,37.99700164794922,82.05049896240234,2.9600000381469727,3.5999999046325684,74.17643737792969,80.47407,79.5611,2297.698
IRN,Iran,17484.1328125,32.340999603271484,76.79930114746094,1.850000023841858,9.0,55.17673110961914,72.82924,65.44067,3064.1272
IRQ,Iraq,12725.04296875,20.093000411987305,72.03710174560547,1.059999942779541,13.399999618530272,101.51512145996094,25.715412,18.0274,
ISL,Iceland,67310.0546875,35.74700164794922,81.58769989013672,2.8299999237060547,6.900000095367432,3.772369384765625,81.43955,78.32783,1814.9749
ISR,Israel,47338.84375,29.086000442504883,82.81449890136719,3.140000104904175,10.100000381469728,420.6628112792969,77.50582,70.14864,1608.0732
ITA,Italy,53265.00390625,47.11600112915039,82.052001953125,3.059999942779541,7.699999809265137,201.6086578369141,85.436905,83.00122,4421.9893
JAM,Jamaica,11340.263671875,31.152999877929688,71.48090362548828,1.649999976158142,12.5,262.1560363769531,30.28276,26.796753,2038.9644
JEY,Jersey,,42.867000579833984,79.72570037841797,,,,81.51759,79.11839,
JOR,Jordan,9520.2509765625,23.94300079345703,77.08799743652344,1.409999966621399,20.5,126.76834869384766,42.83461,40.495773,1427.4072
JPN,Japan,46106.921875,48.54800033569336,84.0541000366211,12.59000015258789,8.100000381469727,342.92889404296875,83.79367,82.76578,1702.1892
KAZ,Kazakhstan,35973.96484375,29.347999572753903,73.50279998779297,6.539999961853027,6.800000190734863,7.421051502227783,54.196712,53.0535,4047.5574
KEN,Kenya,5845.201171875,19.27199935913086,63.54909896850586,1.3300000429153442,3.0999999046325684,95.32357025146484,26.716526,20.442282,
KGZ,Kyrgyzstan,7048.98974609375,24.975000381469727,71.48699951171875,3.7300000190734863,7.599999904632568,36.26586151123047,24.965395,20.2136,2107.952
KHM,Cambodia,7008.88916015625,25.59600067138672,70.52799987792969,0.7300000190734863,7.5,97.44913482666016,89.0415,85.417465,
KIR,Kiribati,3257.13623046875,22.52899932861328,66.2686996459961,1.8600000143051147,24.600000381469727,161.09011840820312,77.32808,62.44032,
KNA,Saint Kitts and Nevis,30656.44140625,34.97100067138672,70.31310272216797,3.9800000190734863,13.800000190734863,179.73846435546875,72.314476,57.776257,7430.0425
KOR,South Korea,55070.9375,43.94400024414063,82.72699737548828,12.8100004196167,9.600000381469728,530.5585327148438,86.44801,85.64171,1650.1198
KWT,Kuwait,46137.46875,33.4630012512207,78.78810119628906,2.3299999237060547,25.600000381469727,257.5484924316406,75.33473,72.90916,1457.4116
LAO,Laos,8600.32421875,23.972000122070312,68.71520233154297,1.7100000381469729,6.699999809265137,32.75133514404297,77.902405,69.08865,
LBN,Lebanon,11330.2685546875,28.106000900268555,78.00289916992188,2.7300000190734863,12.300000190734863,561.533935546875,47.701817,42.026745,2354.6365
LBR,Liberia,1646.05859375,18.18000030517578,61.934200286865234,1.590000033378601,9.199999809265137,55.785892486572266,72.65189,69.43534,
LBY,Libya,12583.833984375,26.91699981689453,74.46150207519531,3.5,15.800000190734863,4.105506896972656,32.065197,17.111511,
LCA,Saint Lucia,24252.46875,33.316001892089844,72.6698989868164,1.090000033378601,11.399999618530272,293.1049194335937,33.636475,30.74544,
LIE,Liechtenstein,,44.01399993896485,83.40540313720703,,7.199999809265137,245.8625030517578,68.05379,,1226.839
